"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"516","fd-39704321","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39704321.html","clean","463","18  ",NA,"1",NA,NA,"31300","91","46"
"517","fd-28290717","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-28290717.html","clean","442","23  ",NA,NA,NA,NA,"31400","20",NA
"518","fd-39177192","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39177192.html","clean","450","20  ",NA,NA," 1",NA,"31500","51","13"
"519","fd-39696207","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39696207.html","clean","473","27  ",NA,NA,NA,NA,"31400","96","6"
"520","fd-39403427","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39403427.html","clean","450","25  ",NA,NA," 3",NA,"31000",NA,NA
"521","fd-39694329","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39694329.html","clean","430","16  ",NA,NA," 2","1900","31000",NA,NA
"522","fd-39694326","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39694326.html","clean","495","20  ",NA,NA,NA,"1949","31400","83","19"
"523","fd-39470853","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39470853.html","clean","380","75  ","4","3"," 1","1970","31100","78","61"
"524","fd-39477764","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39477764.html","clean","462","24  ",NA,NA,NA,"1900","31000","30","20"
"525","fd-39636789","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39636789.html","clean","413","16  ",NA,"1"," 2",NA,"31300","32","30"
"526","fd-38739312","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38739312.html","clean","435","11  ",NA,NA,NA,NA,"31000","22","22"
"527","fd-24985230","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-24985230.html","clean","390","13  ",NA,NA,NA,NA,"31500","28","24"
"528","fd-36763947","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36763947.html","clean","475","18  ",NA,NA," 1",NA,"31400","08","20"
"529","fd-38737450","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38737450.html","clean","480","23  ",NA,NA," 2","1970","31000","75","11"
"530","fd-38819690","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38819690.html","clean","442","18  ",NA,NA,NA,"1988","31400","76","10"
"531","fd-39719454","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39719454.html","clean","489","22  ",NA,NA," 2","1983","31200","23","15"
"532","fd-39721295","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39721295.html","clean","448","27  ",NA,NA," 2","1971","31400","28","53"
"533","fd-39714853","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39714853.html","clean","500","18  ",NA,NA,NA,"1985","31500",NA,NA
"534","fd-37987182","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37987182.html","clean","437","19  ",NA,NA,NA,"2000","31100","98","11"
"535","fd-39715289","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39715289.html","clean","470","19  ",NA,NA,NA,NA,"31300","65","13"
"536","fd-36094440","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36094440.html","clean","470","18  ",NA,NA," 1","1940","31500","16","13"
"537","fd-39296679","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39296679.html","clean","473","28  ",NA,NA,NA,"1989","31500","30","10"
"538","fd-39518977","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39518977.html","clean","490","27  ","2","1"," 1",NA,"31500",NA,NA
"539","fd-38849029","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38849029.html","clean","450","20  ",NA,NA," 1","1930","31400","12","10"
"540","fd-38054100","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38054100.html","clean","420","21  ",NA,NA," 1","1900","31300",NA,NA
"541","fd-39704321","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39704321.html","clean","463","18  ",NA,"1",NA,NA,"31300","91","46"
"542","fd-28290717","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-28290717.html","clean","442","23  ",NA,NA,NA,NA,"31400","20",NA
"543","fd-39177192","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39177192.html","clean","450","20  ",NA,NA," 1",NA,"31500","51","13"
"544","fd-39696207","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39696207.html","clean","473","27  ",NA,NA,NA,NA,"31400","96","6"
"545","fd-39403427","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39403427.html","clean","450","25  ",NA,NA," 3",NA,"31000",NA,NA
"546","fd-39694329","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39694329.html","clean","430","16  ",NA,NA," 2","1900","31000",NA,NA
"547","fd-39694326","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39694326.html","clean","495","20  ",NA,NA,NA,"1949","31400","83","19"
