"","V2","FINAL_URL","Error_check","PRICE","Surface","Rooms","Bedrooms","FLOOR","BUILDTING_YEAR","LOCATION","ELECTRICITY_HEATING","GAS_HEATING"
"2091","fd-39431794","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39431794.html","clean","1 950","134  ","4",NA,NA,NA,"31400","50","5"
"2092","fd-39664698","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39664698.html","clean","1 990","139  ","4",NA,NA,NA,"31000",NA,NA
"2093","fd-39655687","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39655687.html","clean","1 860","143  ","4",NA,NA,NA,"31000",NA,NA
"2094","fd-39367757","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39367757.html","clean","1 880","120  ","5",NA,NA,NA,"31000","30","55"
"2095","fd-39673758","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39673758.html","clean","1 848","130  ","5","3"," 1",NA,"31000",NA,NA
"2096","fd-37962939","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37962939.html","clean","1 930","124  ","4","3"," 4",NA,"31000","25","7"
"2097","fd-38516178","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38516178.html","clean","1 925","140  ","5","4"," 2",NA,"31000","14","12"
"2098","fd-37879470","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37879470.html","clean","1 680","125  ","4","3"," 6","1980","31000","11","18"
"2099","fd-37845008","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37845008.html","clean","1 630","124  ","4","3"," 1",NA,"31000",NA,NA
"2100","fd-37690672","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37690672.html","clean","1 652","108  ","4","3",NA,NA,"31000",NA,NA
"2101","fd-38050587","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-38050587.html","clean","1 830","105  ","4","3"," 3",NA,"31000",NA,NA
"2102","fd-36494271","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-36494271.html","clean","1 899","137  ","4","3"," 1","1948","31000",NA,"5"
"2103","fd-39306266","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39306266.html","clean","1 892","150  ","5","4"," 1",NA,"31000","78","41"
"2104","fd-39617623","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39617623.html","clean","1 812","122  ","5","4",NA,NA,"31000","40","2"
"2107","fd-39304662","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-39304662.html","clean","1 826","110  ","6","5"," 2",NA,"31300","37","4"
"2108","fd-37102991","https://www.avendrealouer.fr/location/toulouse-31/b-appartement/loc-101-14281/fd-37102991.html","clean","1 690","150  ","5","4"," 4","2011","31200","28","13"
